method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,sample_pctg,assigned
scmap_cell...30,0.9854237376042939,0.977718860764005,0.988747731321037,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,TRUE
chetah...31,0.916660658194644,0.8863382883948902,0.93547017329183,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,TRUE
singlecellnet...32,0.9942376901155153,0.9907047890343882,0.995553131818671,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,TRUE
garnett...33,0.7713213827934592,0.8058761622516554,0.8237831659334717,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,TRUE
singleR...34,0.9834915104713867,0.9708264809199595,0.9872603027216512,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,TRUE
cellassign...35,0.9760834095322296,0.9609780174640025,0.9815190102095248,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,TRUE
scmap_cluster...36,0.8569208234315325,0.7681204720088546,0.897459590871586,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,FALSE
scmap_cell...37,0.7887429676313942,0.7175937931179667,0.8479539014490052,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,FALSE
chetah...38,0.6847720300809202,0.6025772028495768,0.7709521424821142,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,FALSE
singlecellnet...39,0.9730937786817412,0.9508691829467786,0.980878111647663,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,FALSE
garnett...40,0.05935729477073901,0.13143355786279912,0.5123897649092511,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,FALSE
singleR...41,0.9142077056798853,0.8665920178118361,0.9387986907647857,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,FALSE
cellassign...42,0.8353089364925612,0.7720961036777048,0.8818627635311848,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5531643578019425,1.6143678809847244,5.2349716549482235,4.523990414308365,7,0.39804241435562804,0.7303027998970564,1226,18902,0.6,FALSE
scmap_cluster...43,0.929848115721528,0.8746426983942875,0.9467831887701504,0.012851897184822521,8,0.38922888616891066,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,NA
scmap_cell...44,0.9126886907574356,0.8434580271374725,0.933895003186636,0.052019583843329255,8,0.38616891064871484,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,NA
chetah...45,0.8366945623988779,0.7564880789658757,0.8759264578832321,0.04467564259485924,8,0.3616891064871481,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,NA
singlecellnet...46,0.9868711233822324,0.9726669448876586,0.9900726592480537,0,7,0.39902080783353733,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,NA
garnett...47,0.35134756839958053,0.5282992521585389,0.49116565292660774,0.321297429620563,8,0.321297429620563,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,NA
singleR...48,0.9535769961675928,0.9194436971315544,0.9648497570725965,0,7,0.39657282741738065,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,NA
cellassign...49,0.9161836017442458,0.8724236177923999,0.9363944186684066,0,7,0.3849449204406365,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,NA
scmap_cluster...50,0.9104647095229125,0.7780574357400287,0.9539701840093825,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,TRUE
scmap_cell...51,0.9104647095229125,0.7780574357400287,0.9539701840093825,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,TRUE
chetah...52,0.8841221738373731,0.7379851404735187,0.9399853949198845,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,TRUE
singlecellnet...53,0.969691752261147,0.8976867398564619,0.9846153846153847,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,TRUE
garnett...54,0.8812982105465252,0.7083385265100121,0.938465571401076,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,TRUE
singleR...55,0.895883082189446,0.7433788686626023,0.9462496022848205,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,TRUE
cellassign...56,0.895883082189446,0.7433788686626023,0.9462496022848205,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,TRUE
scmap_cluster...57,0.93279344726733,0.8688466169323203,0.9505121707432548,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,FALSE
scmap_cell...58,0.9172789018982348,0.8427748321564501,0.9391714010966243,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,FALSE
chetah...59,0.840774531672161,0.7442542329418833,0.8826340473337103,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,FALSE
singlecellnet...60,0.9900549703962473,0.9756274041628314,0.9927040298558386,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,FALSE
garnett...61,0.31808730329443363,0.4980446267391566,0.4783700209317583,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,FALSE
singleR...62,0.9595871821239397,0.9221862078370264,0.9703065934600842,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,FALSE
cellassign...63,0.9195173776702602,0.8683356793059013,0.9407039799865278,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5497777543262711,1.613898679837703,5.207225799520433,4.512740392267193,7,0.397796817625459,0.7302335812611774,1634,18902,0.8,FALSE
scmap_cluster...64,0.9377289048125549,0.8808231912730593,0.9528015908858788,0.011770475723393821,8,0.3908778813143698,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5555581912029354,1.612996543699384,5.221939820277587,4.5502674468790145,7,0.39823442864149095,0.7298648474107357,2039,18902,1,NA
scmap_cell...65,0.9208734189398295,0.8514929670463991,0.9401386672332046,0.05002452182442374,8,0.3884256988719961,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5555581912029354,1.612996543699384,5.221939820277587,4.5502674468790145,7,0.39823442864149095,0.7298648474107357,2039,18902,1,NA
chetah...66,0.8404600615184769,0.7601991234430789,0.8789072134529143,0.04462972045120157,8,0.36292300147130946,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5555581912029354,1.612996543699384,5.221939820277587,4.5502674468790145,7,0.39823442864149095,0.7298648474107357,2039,18902,1,NA
singlecellnet...67,0.987767767542417,0.9741522954919202,0.9907548562939786,0,7,0.39921530161844043,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5555581912029354,1.612996543699384,5.221939820277587,4.5502674468790145,7,0.39823442864149095,0.7298648474107357,2039,18902,1,NA
garnett...68,0.3586286739312227,0.5311549748602714,0.4967795790999802,0.3158410985777342,8,0.3158410985777342,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5555581912029354,1.612996543699384,5.221939820277587,4.5502674468790145,7,0.39823442864149095,0.7298648474107357,2039,18902,1,NA
singleR...69,0.9603449952376792,0.9289518644708423,0.9699932790887343,0,7,0.39725355566454146,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5555581912029354,1.612996543699384,5.221939820277587,4.5502674468790145,7,0.39823442864149095,0.7298648474107357,2039,18902,1,NA
cellassign...70,0.9289746560461833,0.8775867469775601,0.9461498082407828,0,7,0.3889161353604708,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5555581912029354,1.612996543699384,5.221939820277587,4.5502674468790145,7,0.39823442864149095,0.7298648474107357,2039,18902,1,NA
scmap_cluster...71,0.9485925175109999,0.8827648142471022,0.9736055616599236,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5555581912029354,1.612996543699384,5.221939820277587,4.5502674468790145,7,0.39823442864149095,0.7298648474107357,2039,18902,1,TRUE
scmap_cell...72,0.9582246461748859,0.896290188280782,0.9785900080797622,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5555581912029354,1.612996543699384,5.221939820277587,4.5502674468790145,7,0.39823442864149095,0.7298648474107357,2039,18902,1,TRUE
chetah...73,0.8696449764243577,0.775290588524881,0.9316915945744949,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5555581912029354,1.612996543699384,5.221939820277587,4.5502674468790145,7,0.39823442864149095,0.7298648474107357,2039,18902,1,TRUE
singlecellnet...74,0.9853386245059149,0.9599560721742004,0.992526186393935,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5555581912029354,1.612996543699384,5.221939820277587,4.5502674468790145,7,0.39823442864149095,0.7298648474107357,2039,18902,1,TRUE
garnett...75,0.901331319169503,0.7971984013993201,0.9487109700404348,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5555581912029354,1.612996543699384,5.221939820277587,4.5502674468790145,7,0.39823442864149095,0.7298648474107357,2039,18902,1,TRUE
singleR...76,0.9413957166818303,0.865714580067285,0.9698492008956222,NA,NA,NA,TRUE,Muraro_pancreas,0.5553257969128127,1.6145360443200734,5.242289303779789,4.413963434459751,7,0.3976240391334731,0.7304254812105634,1431,18902,Muraro_pancreas,0.5555581912029354,1.612996543699384,5.221939820277587,4.5502674468790145,7,0.39823442864149095,0.7298648474107357,2039,18902,1,TRUE
