method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,batch_effects_amount,batch_effects_removed,assigned
cellassign...21,0.964467091675192,0.93023705036395965,0.9761009613288019,NA,NA,NA,TRUE,Muraro_pancreas,0.5601377716638394,1.613898679837703,5.3030182811027196,4.624467905871611,7,0.397796817625459,0.7268403769280475,1634,18158,Segerstolpe_pancreas,0.16718577785086547,1.550027473303311,17.805182288798328,24.355242868157283,6,0.43473994111874387,0.6653024736202267,2038,18158,260388.6446843574,FALSE,FALSE
scmap_cluster...22,0.9047632904428342,0.8283694010902525,0.927831833475752,0.05640019617459539,7,0.3805787150564002,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,NA
scmap_cell...23,0.9206644765709369,0.8561238043779688,0.9398365014242225,0.02550269740068661,7,0.3898970083374203,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,NA
chetah...24,0.8431287795321533,0.7854715708626302,0.8807715826544875,0.1074055909759686,7,0.36733692986758215,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,NA
singlecellnet...25,0.9338594220772041,0.8781683217540389,0.9498641214022757,0.0196174595389897,7,0.3908778813143698,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,NA
garnett...26,0.10900651241459995,0.3042065768341896,0.35171028123571246,0.4350171652770966,6,0.4350171652770966,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,NA
singleR...27,0.9392297864481606,0.8905937189775178,0.9541305882193426,0,6,0.39921530161844043,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,NA
cellassign...28,0.9164616250075933,0.8582502365689431,0.9366261170754703,0,7,0.3874448258950466,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,NA
scmap_cluster...29,0.9855675114247221,0.9609998864469335,0.9906295179784728,NA,NA,NA,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,TRUE
scmap_cell...30,0.9855675114247221,0.9609998864469335,0.9906295179784728,NA,NA,NA,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,TRUE
chetah...31,0.9855675114247221,0.9609998864469335,0.9906295179784728,NA,NA,NA,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,TRUE
singlecellnet...32,0.9855675114247221,0.9609998864469335,0.9906295179784728,NA,NA,NA,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,TRUE
garnett...33,0.23744775634737622,0.416503673659061,0.49159428709597225,NA,NA,NA,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,TRUE
singleR...34,0.9855675114247221,0.9609998864469335,0.9906295179784728,NA,NA,NA,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,TRUE
cellassign...35,0.982648473411513,0.950665007108231,0.9887260516267841,NA,NA,NA,TRUE,Segerstolpe_pancreas,0.17664806033395936,1.5507979694968936,17.544303097345136,23.441426991150447,6,0.43443627450980393,0.6650799686578172,1632,18080,Muraro_pancreas,0.5557317440586944,1.612996543699384,5.359897649164202,4.721558445301237,7,0.39823442864149095,0.7241158037733229,2039,18080,251137.7709322925,FALSE,TRUE
