method,ARI,AMI,FMI,unlabeled_pctg,cluster_num,pred_type_max_pctg,supervised,train_dataset,train_complexity,train_entropy,train_seq_depth_med,train_seq_depth_IQR,train_cell_types,train_cell_type_max_pctg,train_sparsity,train_sample_num,train_gene_num,test_dataset,test_complexity,test_entropy,test_seq_depth_med,test_seq_depth_IQR,test_cell_types,test_cell_type_max_pctg,test_sparsity,test_sample_num,test_gene_num,train_test_correlation,type_pctg,type_num,assigned
cellassign...21,0,0,0.5049922457413621,NA,NA,NA,TRUE,midbrain_human,0.9484182341799251,1.5612754119705026,0.2890020992268701,0.22342685986380628,5,0.28823529411764703,0.8748686100829149,510,19531,midbrain_human,0.952453373445051,1.5608420512390095,0.2980902155547591,0.22569248886385743,5,0.28885832187070154,0.8734887443423099,727,19531,0.9994554814329781,0.2,5,FALSE
scmap_cluster...22,0.5994286766215255,0.6062246505076179,0.6402048700698849,0.08752025931928688,13,0.1912479740680713,TRUE,midbrain_human,0.9666960496311674,2.391393262472649,0.27525472326045775,0.2022425887051354,12,0.1695501730103806,0.8768954946198859,867,19531,midbrain_human,0.9711228293078107,2.390385037970697,0.2812708002662434,0.21070349700476163,12,0.17017828200972449,0.8758128518955902,1234,19531,0.9994087109657122,0.5,12,NA
scmap_cell...23,0.27939203565605086,0.45584636292733477,0.44280924095776836,0.47811993517017826,13,0.47811993517017826,TRUE,midbrain_human,0.9666960496311674,2.391393262472649,0.27525472326045775,0.2022425887051354,12,0.1695501730103806,0.8768954946198859,867,19531,midbrain_human,0.9711228293078107,2.390385037970697,0.2812708002662434,0.21070349700476163,12,0.17017828200972449,0.8758128518955902,1234,19531,0.9994087109657122,0.5,12,NA
chetah...24,0.5200977654891512,0.5925622209473365,0.5678161611480672,0.15559157212317667,13,0.15559157212317667,TRUE,midbrain_human,0.9666960496311674,2.391393262472649,0.27525472326045775,0.2022425887051354,12,0.1695501730103806,0.8768954946198859,867,19531,midbrain_human,0.9711228293078107,2.390385037970697,0.2812708002662434,0.21070349700476163,12,0.17017828200972449,0.8758128518955902,1234,19531,0.9994087109657122,0.5,12,NA
singlecellnet...25,0.8857687353173811,0.8814879482551673,0.8975928876214522,8.103727714748784e-4,13,0.18152350081037277,TRUE,midbrain_human,0.9666960496311674,2.391393262472649,0.27525472326045775,0.2022425887051354,12,0.1695501730103806,0.8768954946198859,867,19531,midbrain_human,0.9711228293078107,2.390385037970697,0.2812708002662434,0.21070349700476163,12,0.17017828200972449,0.8758128518955902,1234,19531,0.9994087109657122,0.5,12,NA
garnett...26,0,0,0.316829711045567,1,1,-Inf,TRUE,midbrain_human,0.9666960496311674,2.391393262472649,0.27525472326045775,0.2022425887051354,12,0.1695501730103806,0.8768954946198859,867,19531,midbrain_human,0.9711228293078107,2.390385037970697,0.2812708002662434,0.21070349700476163,12,0.17017828200972449,0.8758128518955902,1234,19531,0.9994087109657122,0.5,12,NA
singleR...27,0.653871886822665,0.664922035477785,0.6911976887368207,0,12,0.1993517017828201,TRUE,midbrain_human,0.9666960496311674,2.391393262472649,0.27525472326045775,0.2022425887051354,12,0.1695501730103806,0.8768954946198859,867,19531,midbrain_human,0.9711228293078107,2.390385037970697,0.2812708002662434,0.21070349700476163,12,0.17017828200972449,0.8758128518955902,1234,19531,0.9994087109657122,0.5,12,NA
cellassign...28,0,0,0.316829711045567,1,1,-Inf,TRUE,midbrain_human,0.9666960496311674,2.391393262472649,0.27525472326045775,0.2022425887051354,12,0.1695501730103806,0.8768954946198859,867,19531,midbrain_human,0.9711228293078107,2.390385037970697,0.2812708002662434,0.21070349700476163,12,0.17017828200972449,0.8758128518955902,1234,19531,0.9994087109657122,0.5,12,NA
scmap_cluster...29,0.9232573324283512,0.7859492131651012,0.9483836030286499,NA,NA,NA,TRUE,midbrain_human,0.9666960496311674,2.391393262472649,0.27525472326045775,0.2022425887051354,12,0.1695501730103806,0.8768954946198859,867,19531,midbrain_human,0.9711228293078107,2.390385037970697,0.2812708002662434,0.21070349700476163,12,0.17017828200972449,0.8758128518955902,1234,19531,0.9994087109657122,0.5,12,TRUE
scmap_cell...30,0.9281516759180878,0.7845194278895864,0.9517104059427023,NA,NA,NA,TRUE,midbrain_human,0.9666960496311674,2.391393262472649,0.27525472326045775,0.2022425887051354,12,0.1695501730103806,0.8768954946198859,867,19531,midbrain_human,0.9711228293078107,2.390385037970697,0.2812708002662434,0.21070349700476163,12,0.17017828200972449,0.8758128518955902,1234,19531,0.9994087109657122,0.5,12,TRUE
chetah...31,0.9591302331973727,0.864846519388545,0.9726012751075849,NA,NA,NA,TRUE,midbrain_human,0.9666960496311674,2.391393262472649,0.27525472326045775,0.2022425887051354,12,0.1695501730103806,0.8768954946198859,867,19531,midbrain_human,0.9711228293078107,2.390385037970697,0.2812708002662434,0.21070349700476163,12,0.17017828200972449,0.8758128518955902,1234,19531,0.9994087109657122,0.5,12,TRUE
singlecellnet...32,0.9612876937636771,0.9130745111947861,0.9741325785741034,NA,NA,NA,TRUE,midbrain_human,0.9666960496311674,2.391393262472649,0.27525472326045775,0.2022425887051354,12,0.1695501730103806,0.8768954946198859,867,19531,midbrain_human,0.9711228293078107,2.390385037970697,0.2812708002662434,0.21070349700476163,12,0.17017828200972449,0.8758128518955902,1234,19531,0.9994087109657122,0.5,12,TRUE
garnett...33,0,0,0.576072661363179,NA,NA,NA,TRUE,midbrain_human,0.9666960496311674,2.391393262472649,0.27525472326045775,0.2022425887051354,12,0.1695501730103806,0.8768954946198859,867,19531,midbrain_human,0.9711228293078107,2.390385037970697,0.2812708002662434,0.21070349700476163,12,0.17017828200972449,0.8758128518955902,1234,19531,0.9994087109657122,0.5,12,TRUE
singleR...34,0.9161077097471758,0.7890478350349058,0.9435597934401891,NA,NA,NA,TRUE,midbrain_human,0.9666960496311674,2.391393262472649,0.27525472326045775,0.2022425887051354,12,0.1695501730103806,0.8768954946198859,867,19531,midbrain_human,0.9711228293078107,2.390385037970697,0.2812708002662434,0.21070349700476163,12,0.17017828200972449,0.8758128518955902,1234,19531,0.9994087109657122,0.5,12,TRUE
