method,ARI,AMI,FMI,unlabeled_pctg,supervised,sample_pctg,assigned
tscan...78,0.7545772862616876,0.6703508957064996,0.8161430210373243,NA,FALSE,0.03,TRUE
sc3...79,0.9853886248605119,0.945710725112347,0.9891909447757954,NA,FALSE,0.03,TRUE
liger...80,0.7039384230049209,0.677837888922497,0.7808783836482364,NA,FALSE,0.03,TRUE
seurat...81,0.44432925555617847,0.5797915423498081,0.5560213534874978,NA,FALSE,0.03,FALSE
tscan...82,0.34598520548067113,0.5185202922077702,0.45131915927117056,NA,FALSE,0.03,FALSE
sc3...83,0.13079841925991642,0.3327346401152333,0.314907414049768,NA,FALSE,0.03,FALSE
liger...84,0.2279994014367572,0.4235794355737003,0.4351933912048633,NA,FALSE,0.03,FALSE
seurat...85,0.5758757076837479,0.6685458662124558,0.6506996014883867,NA,FALSE,0.05,NA
tscan...86,0.4122540718473368,0.5468542544267727,0.49807314915184553,NA,FALSE,0.05,NA
sc3...87,0.17521852384758554,0.4132530525427699,0.33113289406401764,NA,FALSE,0.05,NA
liger...88,0.305784557501559,0.5120225593937682,0.4413681134391158,NA,FALSE,0.05,NA
seurat...89,0.93375561926412,0.87718063439569,0.9508498831814326,NA,FALSE,0.05,TRUE
tscan...90,0.670801043061795,0.6210754443798132,0.7524818771504214,NA,FALSE,0.05,TRUE
sc3...91,0.9876711328059146,0.946921304036345,0.9908737510149145,NA,FALSE,0.05,TRUE
liger...92,0.7217018068709292,0.6391276898119512,0.7934064899842436,NA,FALSE,0.05,TRUE
seurat...93,0.4768208084993457,0.6033192535435328,0.5800758605817328,NA,FALSE,0.05,FALSE
tscan...94,0.3412072299723777,0.5030433636047399,0.44642365102712955,NA,FALSE,0.05,FALSE
sc3...95,0.06817618595582589,0.26710853437409926,0.2849338135191125,NA,FALSE,0.05,FALSE
liger...96,0.21452519642022655,0.42421737328761416,0.3946081394381389,NA,FALSE,0.05,FALSE
seurat...97,0.575803418471544,0.6701844506350351,0.6492915474562827,NA,FALSE,0.08,NA
tscan...98,0.44302779621609406,0.5605604598283803,0.5261840781970885,NA,FALSE,0.08,NA
sc3...99,0.10543876437713176,0.3472912597596253,0.30020222465646973,NA,FALSE,0.08,NA
liger...100,0.27569807315968503,0.5233733474092976,0.42717980571387804,NA,FALSE,0.08,NA
seurat...101,0.9497233036107239,0.9003686455140973,0.9622709696456692,NA,FALSE,0.08,TRUE
tscan...102,0.729465495015034,0.6798710071544197,0.7945125188751221,NA,FALSE,0.08,TRUE
